title,url
The Weight of Silence,https://shortfictionbreak.com/the-weight-of-silence/
King and Lionheart,https://shortfictionbreak.com/king-and-lionheart/
The Whisperer,https://shortfictionbreak.com/the-whisperer/
Fortune and Glory,https://shortfictionbreak.com/fortune-and-glory/
The Golden Seed,https://shortfictionbreak.com/the-golden-seed/
Ring Around the Rosie,https://shortfictionbreak.com/ring-around-the-rosie/
Operation Cupid,https://shortfictionbreak.com/operation-cupid/
The Bargain,https://shortfictionbreak.com/the-bargain-2/
Lucid Puma,https://shortfictionbreak.com/lucid-puma/
The Summit,https://shortfictionbreak.com/the-summit/
